Location,Uninsured,Medicaid
Alabama,480300,948700
Alaska,102800,140000
Arizona,736600,1463900
Arkansas,271500,738400
California,3276000,10173800
Colorado,430000,1021200
Connecticut,210900,683000
Delaware,51500,188000
District of Columbia,23600,168000
Florida,2653500,3724900
Georgia,1375700,1768000
Hawaii,52100,244100
Idaho,182200,274400
Illinois,889400,2542500
Indiana,633300,1085000
Iowa,146800,548500
Kansas,261200,377200
Kentucky,261100,1105200
Louisiana,546800,1026900
Maine,110600,258600
Maryland,389700,1027100
Massachusetts,185000,1559300
Michigan,584400,2201400
Minnesota,240600,968900
Mississippi,361300,744400
Missouri,574400,874500
Montana,116300,152600
Nebraska,144000,237400
Nevada,349800,528200
New Hampshire,89200,160600
New Jersey,773400,1523400
New Mexico,222200,651500
New York,1368400,4945200
North Carolina,1101600,1802000
North Dakota,60000,77600
Ohio,733400,2355000
Oklahoma,537200,655500
Oregon,277600,942000
Pennsylvania,780600,2288600
Rhode Island,52500,231300
South Carolina,513400,926800
South Dakota,92900,111100
Tennessee,659600,1291200
Texas,4560300,4690000
Utah,314300,327000
Vermont,23800,156000
Virginia,751000,971100
Washington,458200,1480900
West Virginia,98200,476100
Wisconsin,324300,959000
Wyoming,59300,69100
Puerto Rico,195100,1673300
Alabama,435200,952800
Alaska,103500,137900
Arizona,674800,1585800
Arkansas,232200,771800
California,2841000,10466200
Colorado,413700,1045500
Connecticut,170000,700500
Delaware,53500,178900
District of Columbia,26000,183900
Florida,2524000,3825400
Georgia,1292300,1793400
Hawaii,47400,239700
Idaho,170200,277300
Illinois,814300,2537500
Indiana,518900,1150600
Iowa,122400,592700
Kansas,236700,391300
Kentucky,220800,1144900
Louisiana,461100,1146200
Maine,102000,250500
Maryland,357700,1040400
Massachusetts,163900,1573400
Michigan,516600,2193200
Minnesota,227400,967700
Mississippi,339300,714600
Missouri,529100,858700
Montana,84900,208400
Nebraska,163800,237000
Nevada,321000,556500
New Hampshire,82100,173900
New Jersey,675900,1521800
New Mexico,183000,658500
New York,1170500,5075600
North Carolina,1029700,1837100
North Dakota,57000,80500
Ohio,629400,2401000
Oklahoma,524200,690400
Oregon,249000,934000
Pennsylvania,722700,2454500
Rhode Island,42900,222900
South Carolina,476200,967000
South Dakota,69200,118400
Tennessee,591700,1379100
Texas,4522200,4757100
Utah,255200,351500
Vermont,21600,160200
Virginia,714400,928900
Washington,423800,1515200
West Virginia,87700,511600
Wisconsin,292600,984300
Wyoming,62500,71500
Puerto Rico,214600,1627800
Alabama,452600,977900
Alaska,98700,156400
Arizona,686400,1526400
Arkansas,233100,784600
California,2799600,10238500
Colorado,409800,1073700
Connecticut,196500,706200
Delaware,52000,166900
