Location,Medicaid,Uninsured
Alabama,20%,10%
Alaska,21%,12%
Arizona,21%,11%
Arkansas,26%,9%
California,25%,8%
Colorado,17%,8%
Connecticut,22%,6%
Delaware,20%,7%
District of Columbia,26%,4%
Florida,17%,13%
Georgia,17%,13%
Hawaii,18%,4%
Idaho,16%,11%
Illinois,18%,7%
Indiana,18%,9%
Iowa,20%,5%
Kansas,14%,9%
Kentucky,26%,6%
Louisiana,29%,9%
Maine,20%,8%
Maryland,19%,6%
Massachusetts,22%,3%
Michigan,22%,6%
Minnesota,17%,5%
Mississippi,24%,13%
Missouri,14%,10%
Montana,21%,8%
Nebraska,13%,8%
Nevada,18%,12%
New Hampshire,13%,6%
New Jersey,17%,8%
New Mexico,33%,10%
New York,26%,5%
North Carolina,18%,11%
North Dakota,12%,7%
Ohio,20%,7%
Oklahoma,17%,15%
Oregon,21%,7%
Pennsylvania,20%,6%
Rhode Island,21%,4%
South Carolina,19%,11%
South Dakota,13%,10%
Tennessee,20%,10%
Texas,16%,18%
Utah,9%,10%
Vermont,24%,4%
Virginia,14%,8%
Washington,20%,7%
West Virginia,27%,7%
Wisconsin,16%,6%
Wyoming,12%,12%
Puerto Rico,46%,8%
